James Harden,31.6,41.3,35,83.7,6.8,6.6,2.2,0.9,4.6,28
Kawhi Leonard,31.2,50.7,38.8,87.5,8.8,3.8,1.6,0.6,3.1,31.3
Paul George,28.6,43.6,31.9,81.6,8.6,3.6,1.4,0.2,4.2,25
Stephen Curry,27.3,45.2,39,94,6.3,5.6,0.9,0.2,3.1,26.6
Damian Lillard,26.9,41.8,37.3,83.3,4.8,6.6,1.7,0.3,3.8,23.3
Giannis Antetokounmpo,25.5,49.4,32.7,63.7,12.2,4.9,1.2,2,3.3,29.6
Nikola Jokic,25.1,50.6,39.3,84.6,13,8.4,1.1,0.9,2.6,36
CJ McCollum,24.7,44,39.3,73.2,5,3.7,0.8,0.6,1.9,19.8
Russell Westbrook,22.8,36,32.4,88.5,9,10.6,1,0.6,4.6,24.6
DeMar DeRozan,22,48.7,0,86.4,6.7,4.6,1.1,0.1,1.7,23.3
Lou Williams,21.7,43.3,33.3,82.9,2.8,7.7,0.8,0.2,3,19.2
Donovan Mitchell,21.4,32.1,25.6,72.7,5,3.2,1.6,0.2,4.2,10.2
Kyrie Irving,21.3,38.5,31,90,4.3,7,1.4,0.4,3.1,18.8
Jamal Murray,21.3,42.5,33.7,90.3,4.4,4.7,1,0.1,1.6,19.1
Caris LeVert,21,49.3,46.2,72.4,4.6,3,1,0.4,2,19
Joel Embiid,20.2,42.8,30.8,82.2,10.5,3.4,0.7,2.3,3.6,23.6
LaMarcus Aldridge,20,45.5,27.3,81.8,9.6,2.7,0.7,1,1,22.7
Danilo Gallinari,19.8,35.1,30.2,84.8,6.2,2.7,1.3,0.2,1.8,15.5
Jimmy Butler,19.4,45.1,26.7,87.5,6,5.2,1.5,0.6,1.8,22.1
D'Angelo Russell,19.4,35.9,32.4,84.6,3.6,3.6,1.4,0.2,2.8,11.8
Klay Thompson,19.1,42.9,39.3,92,3.9,2,1.5,0.9,2,15.4
Pascal Siakam,18.7,45.8,28.9,75.8,7,2.4,1.2,0.7,1.3,19.2
Montrezl Harrell,18.3,73,0,69.2,5.5,2.2,0.5,0.7,1.3,21.7
Bojan Bogdanovic,18,39.7,31.8,88.2,5.8,2.8,2,0,1.5,17
Eric Gordon,17.8,44.7,40,85.7,2.5,1.3,0.6,1,2.5,12.9
Reggie Jackson,17.8,43.1,42.9,85.7,3.3,7,0.8,0,1.3,18
Chris Paul,17,44.6,27,84.4,6.4,5.5,2.2,0.6,3.4,20.2
Khris Middleton,16.9,41.8,43.5,88.5,6.3,4.4,0.6,0,1.9,18.1
Tobias Harris,15.5,42.5,34.9,84.6,9.2,4,1.1,0.5,1.7,20.3
Ricky Rubio,15.4,42.4,20,85,3.2,8.6,2.4,0.2,3,18.6
